feature,mean_importance
AATSC2Z,4.276421297490663e-06
SLogP_sum_IC4,4.3255367973143135e-06
SLogP_sum_AATSC0p,4.32694479737851e-06
GATS3p,4.351829740484748e-06
ATS4are,4.363042271985588e-06
GATS3d,4.38092372228192e-06
MIC1,4.441707476771518e-06
nHBDon,4.452812512519867e-06
AATS1d,4.533244984823801e-06
Xpc-5d,4.564310848500803e-06
SLogP_ratio_Mp,4.607376621561417e-06
AATSC1i,4.618680958820651e-06
AXp-2dv,4.641089647477396e-06
SaaCH,4.679135418752395e-06
ATSC8p,4.696612395515675e-06
AATSC3se,4.7058276025592136e-06
AATS3d,4.710346994032076e-06
CIC4,4.7120261987646305e-06
GGI8,4.7249653326656736e-06
AATS3m,4.736405235276301e-06
NaasC,4.740439099147793e-06
GGI3,4.741802746205826e-06
MATS1v,4.752265391059791e-06
Xp-4dv,4.763931699754663e-06
eluent.A.trifluoroacetic,4.774797945396314e-06
BIC2_diff_SLogP,4.8649468373265085e-06
SRW09,4.8885403417429915e-06
SMR_VSA1,4.890567476894224e-06
MPC5,4.897531971597216e-06
SLogP_sum_AATSC3se,4.930149313918126e-06
n6aRing,4.943091927674635e-06
SLogP_sum_NssS,4.9433850172068795e-06
TIC4,4.950198194196131e-06
ATSC4m,4.971818862142298e-06
SLogP_sum_AATSC1p,4.983071355341845e-06
ATSC4dv,4.988506863929255e-06
MATS4m,5.0018496550416e-06
AATSC1p,5.00863569895954e-06
EState_VSA7,5.061180551256712e-06
nH,5.067825941514059e-06
ATSC6se,5.158223486292999e-06
ATSC0se,5.183851868802939e-06
nHetero,5.194555676384712e-06
TIC0,5.206966032746292e-06
ATSC4v,5.234512941145256e-06
ATSC8dv,5.253985792902545e-06
ATS5p,5.340878309116962e-06
nAromBond,5.3450639964415686e-06
MATS3se,5.3545090870061806e-06
GATS2v_diff_SLogP,5.386185921107088e-06
SdsN,5.423956393465785e-06
ATSC5se,5.436364846907442e-06
ATS4pe,5.452330283500524e-06
Diameter,5.473693334722904e-06
SMR_VSA9,5.487717513256389e-06
ATS2dv,5.5172371735820975e-06
Spe,5.532291207995498e-06
ATSC7pe,5.597295763371066e-06
EState_VSA10,5.693212806403853e-06
ATS2pe,5.701552064692802e-06
MATS3Z,5.70373290535121e-06
ATSC5m,5.758905107548958e-06
SIC1,5.772175688916522e-06
ATSC5dv,5.80848934294137e-06
MWC03_sum_SLogP,5.821841497063995e-06
MPC10,5.8403558386177845e-06
BIC5,5.9226631661706344e-06
ATSC3v,6.022179978357449e-06
SLogP_sum_MATS2d,6.022226948428772e-06
AATS4se,6.055317410543198e-06
ATS4i,6.062028806660003e-06
piPC7,6.062341717753827e-06
Si,6.099716552610164e-06
VSA_EState1,6.132913594486446e-06
SLogP_sum_Xc-5dv,6.154219585337555e-06
ATS8m,6.181677520530459e-06
Xp-7dv,6.200008114191479e-06
ATSC1are,6.208372104488883e-06
SLogP_ratio_MWC09,6.215297958370256e-06
MATS4p,6.254452955140304e-06
SIC3,6.298767885194994e-06
Xch-5dv,6.301744430293934e-06
TpiPC10,6.374322163852502e-06
Sse,6.459716278735261e-06
AATSC3are,6.481046835976611e-06
ATS7m,6.488811859998913e-06
MATS2v,6.497594546209153e-06
GATS2pe,6.505034005594399e-06
nRot,6.5405788303482535e-06
AATSC3i,6.577162042283036e-06
GATS2v,6.580284077964491e-06
SsCH3,6.600161814455333e-06
AXp-2d,6.643973961538517e-06
AATS2are,6.754212328602665e-06
SLogP_sum_MATS3d,6.788311935991813e-06
n12ARing_diff_SLogP,6.791160743947408e-06
ATSC7dv,6.796694114193005e-06
AATS3p,6.8024796576512945e-06
SIC3_diff_SLogP,6.891519975754569e-06
eluent.B.nh4form,6.8944463335293344e-06
AATSC3m,6.945749557501439e-06
Xpc-4d,6.964363824633457e-06
AATS2pe,6.96999943586218e-06
n7FRing,7.007453806598569e-06
Xc-4dv,7.0182715419726295e-06
SLogP_sum_piPC1,7.02685857253884e-06
ATS4se,7.0301027815299585e-06
AATS4Z,7.054853509065855e-06
AATSC3v,7.14509257825225e-06
GATS2d,7.1480351367413965e-06
AATS0dv,7.236257696180501e-06
MATS4se,7.2602979133724354e-06
AATSC1pe,7.368076699786931e-06
MPC9,7.373750919257172e-06
n6Ring,7.3827651371626175e-06
AATSC2se,7.395289619289546e-06
SLogP_ratio_BIC2,7.420888465199064e-06
AATSC2dv,7.530622828183075e-06
GATS4d,7.549734200648552e-06
AATSC0p,7.610781149021244e-06
ATSC3p,7.685168609122393e-06
ATSC7are,7.754649781063684e-06
