Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
111,-1.119,ACME F5/C18,5.88,1.46,1.63,0.45,0.35,0.17,PFP and C18,3,TPP,120
195,-1.496,ACME IQ C18,6.4,1.5,1.41,0.43,0.27,0.12,C18,3,TPP,120
322,-2.7,ACME IQHL C18,10.09,1.5,1.48,0.41,0.26,0.1,C18,3,TPP,100
57,-0.943,ACME Plus,4.3,1.48,1.4,0.41,0.39,0.12,C18,3,TPP,120
213,-1.585,Acquity BEH C8,1.16,1.34,0.86,0.59,0.31,0.13,C8,1.7,TPP,130
179,-1.416,Acquity BEH Phenyl 1.7µm,1.64,1.3,1,0.85,0.41,0.18,Phenyl,1.7,TPP,130
187,-1.452,Acquity BEH Shield RP18 1.7 µm,2.08,1.41,2.36,0.3,0.27,0.13,PEG,1.7,TPP,130
9,-0.71,Acquity CSH C18 1.7um,3.53,1.44,1.35,0.4,0.38,0.09,C18,1.7,TPP,130
353,-4.105,Acquity CSH Fluorophenyl 1.7um,0.46,1,3.1,1.72,1.24,-0.06,PFP,1.7,TPP,130
153,-1.307,Acquity CSH Phenyl hexyl 1.7um,1.47,1.31,1.13,0.7,0.42,0.07,Phenyl,1.7,TPP,130
235,-1.722,Acquity HSS C18 1.8 µm,7.38,1.48,1.47,0.37,0.24,0.11,C18,1.8,TPP,100
291,-2.17,Acquity HSS C18 SB 1.8 µm,2.57,1.39,1.94,1.86,4.99,0.16,C18,1.8,TPP,100
193,-1.479,Acquity HSS T3 1.8 µm,6.02,1.5,1.19,0.5,0.34,0.12,C18,1.8,TPP,100
45,-0.898,Acquity UPLC BEH C18 130 1.7 µm,3.99,1.47,1.38,0.37,0.23,0.09,C18,1.7,TPP,130
114,-1.139,Acquity UPLC BEH C18 300 1.7 µm,1.97,1.48,1.41,0.38,0.22,0.11,C18,1.7,TPP,300
106,-1.102,Aeris PEPTIDE 3.6u XB-C18,4.2,1.48,1.16,0.49,0.56,0.1,C18,3.6,SPP,100
335,-3.115,Aeris Widepore 3.6 µm C4,0.39,1.06,0.85,0.39,0.42,0.16,C4,3.6,SPP,200
151,-1.301,Aeris Widepore 3.6 µm XB-C18,1.15,1.44,1.16,0.52,0.6,0.16,C18,3.6,SPP,200
293,-2.188,Agilent prep LC C18,8.79,1.49,1.55,0.39,0.51,0.17,C18,5,TPP,100
152,-1.304,AIDA C18,4.84,1.52,1.35,0.42,0.3,0.09,C18,5,SPP,120
277,-2.039,Alltima HP C18,2.47,1.43,2.79,0.26,0.35,0.04,C18,5,TPP,190
265,-1.954,Alltima HP C18 Amide,2.48,1.43,2.74,0.27,0.35,0.03,PEG,5,TPP,190
140,-1.244,Alltima HP C18 AQ,4.23,1.42,1.97,1.1,3.1,0.1,Aqua,5,TPP,190
