feature,mean_importance
GATS4Z,5.314153939504473e-06
ZMIC3,5.3241389302198e-06
ATSC2m,5.356198397708702e-06
ATSC3m,5.379079521595706e-06
ATSC3v,5.422367368404686e-06
AATSC4are,5.513845226774294e-06
AATS4pe,5.527883426773017e-06
Xpc-4dv,5.562263928127285e-06
AATSC0Z,5.608019288338723e-06
SlogP_VSA3,5.618898280360194e-06
AATSC1m,5.628506510731938e-06
JGI7,5.6493988074292865e-06
AATS4d,5.650362635996591e-06
EState_VSA5,5.675859180114679e-06
AATS3p,5.698152154583885e-06
GATS2se,5.727107323119131e-06
eluent.B.nh4oh,5.735286282354969e-06
n10FaHRing,5.755891051569592e-06
GATS4p,5.763265269598944e-06
AXp-1d,6.102040908786618e-06
AATSC2are,6.133891421657156e-06
SIC4,6.169028033601795e-06
ATS8i,6.172899351750485e-06
Xpc-6d,6.240026775096701e-06
ATSC3d,6.273675942362976e-06
MZ,6.277761041489308e-06
ATSC0Z,6.320110571186345e-06
EState_VSA10,6.406015651579372e-06
AATSC0se,6.477193705686692e-06
GhoseFilter,6.58339355567453e-06
ATSC4dv,6.609140850139927e-06
ATSC4pe,6.637384808185452e-06
SlogP_VSA2,6.7390005641125225e-06
ATSC0se,6.748691715690973e-06
SIC1,6.777638202927483e-06
ATSC0p,6.784286073954152e-06
AATSC3m,6.808973538758624e-06
GGI6,6.810905608186854e-06
GGI5,6.854224518638291e-06
FCSP3,6.881858666140609e-06
SaaaC,6.895360536816192e-06
AATS1dv,6.930084267398311e-06
MATS2se,6.93132809949093e-06
MATS2m,6.955665767983781e-06
AATSC2se,7.0210122685760224e-06
GATS1i,7.063371758448279e-06
SaaNH,7.211599398121698e-06
C1SP3,7.252909836027478e-06
AATSC3Z,7.299171940087102e-06
piPC7,7.31977958928062e-06
Xpc-6dv,7.3702657699494835e-06
MATS4se,7.430372422810496e-06
ATSC5p,7.4571874578759075e-06
MATS3are,7.47308817590402e-06
AATSC0v,7.606751756593887e-06
ATSC7d,7.657235214200698e-06
ATSC3pe,7.679062771191042e-06
piPC4,7.761698140732778e-06
GATS2p,7.775299589102454e-06
GATS4dv,7.839370744408981e-06
TopoPSA(NO),7.88673072611712e-06
ATSC6Z,8.107001867424784e-06
MATS1i,8.137945958489219e-06
ATSC1se,8.199264241176997e-06
GATS3se,8.2146400167603e-06
eluent.A.acn,8.224130381993475e-06
ATSC1d,8.322247288148135e-06
ATSC3i,8.360879550170595e-06
CIC2,8.367249053139233e-06
Xc-3d,8.436895680547473e-06
AATS2are,8.808061714503033e-06
VSA_EState1,8.844472971346155e-06
VSA_EState2,8.982162338191067e-06
ATSC7p,9.042419081554867e-06
AATS2p,9.191722250483439e-06
AATS0dv,9.212801192426835e-06
BIC2,9.21478268793574e-06
GATS1p,9.277982241191838e-06
SdsN,9.400470035876313e-06
ZMIC4,9.405436604922011e-06
JGI3,9.468262219543711e-06
SssssC,9.493437651042231e-06
ATS6Z,9.611176247074047e-06
AATS0d,9.63612591994515e-06
AATS2d,9.737118555611536e-06
ATS3dv,9.805396289078606e-06
ATS0p,9.981805198172947e-06
VSA_EState3,1.0058192353877993e-05
AATSC1pe,1.007206494707258e-05
piPC10,1.0097290363832948e-05
GATS2dv,1.0213567029289383e-05
PEOE_VSA2,1.0230224300746601e-05
EState_VSA4,1.0297919833492184e-05
GATS1m,1.042446779214324e-05
PEOE_VSA12,1.0519450688275395e-05
SdS,1.0666924929052767e-05
TopoPSA,1.0922145756746011e-05
GATS2Z,1.1203997262490464e-05
VSA_EState5,1.1220893081818982e-05
ATSC1Z,1.1306193600932931e-05
ATSC2d,1.1314585388267317e-05
PEOE_VSA1,1.1344593400120818e-05
GATS3d,1.1376648312238276e-05
JGI1,1.1451314907182878e-05
ATSC4v,1.1687498474858855e-05
Xp-7d,1.173482893492726e-05
SMR_VSA7,1.1757041235934893e-05
SssO,1.1779804227048194e-05
MPC3,1.1876979143067914e-05
eluent.B.formic,1.1908785626966143e-05
ATSC2i,1.1935704902019898e-05
GATS4are,1.1961036811391872e-05
nHRing,1.2067962195786482e-05
AATSC3v,1.2228937763246461e-05
naHRing,1.2253642838864782e-05
GATS1Z,1.2285579314154012e-05
column.length,1.2309138853618724e-05
eluent.A.trifluoroacetic,1.231474137759923e-05
eluent.A.nh4ac,1.2327120890169747e-05
ATSC1pe,1.2471935084845936e-05
GATS3dv,1.2622380192838043e-05
ATSC4are,1.2830717459158623e-05
MATS3se,1.311923244148765e-05
MATS1se,1.3137109517042094e-05
AATSC1v,1.3165140159854782e-05
SlogP_VSA1,1.3465809645671605e-05
EState_VSA2,1.374267811505821e-05
SaasC,1.3754526468372133e-05
PEOE_VSA13,1.3975546205361247e-05
