feature,mean_importance
SLogP_sum_NssS,2.745035146812028e-06
GGI4,2.747734229040927e-06
MATS3pe,2.7627376142857e-06
AATSC1se,2.7628850063406846e-06
AATS2dv,2.779070549163102e-06
ATS2Z,2.7880152556603725e-06
SlogP_VSA2,2.788849039625941e-06
TPP,2.8144900992160134e-06
VSA_EState5,2.8588951691456075e-06
Mp,2.876166256776582e-06
ATS5se,2.877077192743084e-06
AATS4d,2.8845887177675507e-06
AATS3Z,2.9003314955766863e-06
piPC7,2.9206623447147578e-06
piPC10,2.939373548377193e-06
MATS3Z,2.9472594617129844e-06
GATS3Z_diff_SLogP,2.9764593766926085e-06
ATSC5p,2.9949356972794676e-06
ATS0p,3.036245419398703e-06
BertzCT,3.040467337053765e-06
SLogP_sum_MATS1pe,3.0770729219789864e-06
AATS4are,3.0806084095399455e-06
MW,3.0867964753867466e-06
n10FAHRing_diff_SLogP,3.100203182131427e-06
NdS,3.1033135815595504e-06
NaaCH,3.1620659677535252e-06
MATS2v,3.1686272028629176e-06
ATS0Z,3.2151145707075974e-06
GATS4p,3.222395868700007e-06
eluent.A.meoh,3.266599855084387e-06
AATS2i,3.267665122436668e-06
AXp-2dv,3.274228039204085e-06
NssO,3.275399787806832e-06
ATS8se,3.2825520382271344e-06
ATSC5Z,3.2961248388132734e-06
Xp-7d,3.3006143825418945e-06
Sv,3.309670977564346e-06
ATS6i,3.359288688979927e-06
n10FRing,3.3613045784053677e-06
GATS2dv,3.369187482942914e-06
SLogP_sum_MATS4dv,3.3704728715919923e-06
BIC4,3.385941593449498e-06
ATS1dv,3.490579637817088e-06
JGT10_sum_SLogP,3.5091702254530683e-06
ATS8v,3.5171896722635024e-06
Xpc-6d,3.523274254040726e-06
FCSP3,3.557845124503318e-06
Xp-5d,3.634702719190839e-06
SLogP_sum_AATS4p,3.651183172674339e-06
piPC8,3.6536078259739176e-06
ATS2i,3.711338285700399e-06
MATS2Z,3.7714957686949165e-06
ATSC5are,3.7974272690253703e-06
nAromAtom,3.804760934682325e-06
GATS4i,3.8107160634535084e-06
AATSC3dv,3.8267583952179825e-06
AATSC1i,3.841424546460661e-06
ATSC1p,3.86048188899344e-06
SIC1_diff_SLogP,3.877272281478314e-06
C3SP3,3.924362287685296e-06
n10FaRing,3.954208342659814e-06
ATSC3d,3.976072140738241e-06
SIC3,3.981861192646485e-06
Xch-5dv,3.985964556273581e-06
GATS3v,4.0367430860082345e-06
AATSC3i,4.065741989397933e-06
AATS0Z,4.131563553694956e-06
GATS3pe,4.141267279669271e-06
TopoPSA,4.153560292997817e-06
MATS1v,4.155414811391963e-06
MATS3i,4.214821261133358e-06
ATSC3are,4.2836070150172215e-06
Xp-3dv,4.341533349274361e-06
SLogP_sum_AATS1p,4.348097224048109e-06
AATSC2d,4.380882694338898e-06
